1,10,90.092
1,11,90.056
1,12,90.029
1,13,90.001
1,14,89.968
1,15,89.931
1,16,89.889
1,17,89.844
1,18,89.798
1,19,89.752
1,20,89.706
1,21,89.663
1,22,89.623
1,23,89.586
1,24,89.554
1,25,89.526
1,26,89.503
1,27,89.485
1,28,89.471
1,29,89.46
1,30,89.453
1,31,89.449
2,10,83.872
2,11,84.328
2,12,84.634
2,13,84.827
2,14,84.939
2,15,84.994
2,16,85.009
2,17,84.995
2,18,84.959
2,19,84.908
2,20,84.846
2,21,84.777
2,22,84.704
2,23,84.63
2,24,84.556
2,25,84.484
2,26,84.415
2,27,84.351
2,28,84.291
2,29,84.236
2,30,84.185
2,31,84.138
3,10,77.508
3,11,78.403
3,12,79.016
3,13,79.416
3,14,79.666
3,15,79.809
3,16,79.877
3,17,79.889
3,18,79.858
3,19,79.796
3,20,79.711
3,21,79.609
3,22,79.495
3,23,79.373
3,24,79.247
3,25,79.121
3,26,78.997
3,27,78.876
3,28,78.76
3,29,78.649
3,30,78.544
3,31,78.444
4,10,71.859
4,11,73.104
4,12,73.965
4,13,74.536
4,14,74.9
4,15,75.119
4,16,75.232
4,17,75.266
4,18,75.242
4,19,75.172
4,20,75.067
4,21,74.937
4,22,74.788
4,23,74.627
4,24,74.458
4,25,74.285
4,26,74.113
4,27,73.943
4,28,73.778
4,29,73.62
4,30,73.468
4,31,73.322
5,10,65.91
5,11,67.476
5,12,68.57
5,13,69.302
5,14,69.777
5,15,70.069
5,16,70.227
5,17,70.285
5,18,70.266
5,19,70.189
5,20,70.068
5,21,69.911
5,22,69.73
5,23,69.53
5,24,69.319
5,25,69.101
5,26,68.882
5,27,68.666
5,28,68.454
5,29,68.249
5,30,68.051
5,31,67.861
6,10,59.734
6,11,61.574
6,12,62.868
6,13,63.743
6,14,64.318
6,15,64.677
6,16,64.877
6,17,64.958
6,18,64.947
6,19,64.866
6,20,64.729
6,21,64.549
6,22,64.338
6,23,64.104
6,24,63.855
6,25,63.598
6,26,63.337
6,27,63.078
6,28,62.824
6,29,62.578
6,30,62.34
6,31,62.11
7,10,54.046
7,11,56.075
7,12,57.512
7,13,58.492
7,14,59.141
7,15,59.551
7,16,59.785
7,17,59.884
7,18,59.88
7,19,59.796
7,20,59.648
7,21,59.452
7,22,59.22
7,23,58.96
7,24,58.683
7,25,58.396
7,26,58.104
7,27,57.814
7,28,57.53
7,29,57.253
7,30,56.987
7,31,56.73
8,10,48.71
8,11,50.854
8,12,52.383
8,13,53.432
8,14,54.132
8,15,54.579
8,16,54.837
8,17,54.951
8,18,54.953
8,19,54.868
8,20,54.714
8,21,54.507
8,22,54.26
8,23,53.984
8,24,53.688
8,25,53.38
8,26,53.068
8,27,52.757
8,28,52.453
8,29,52.157
8,30,51.872
8,31,51.598
9,10,42.994
9,11,45.188
9,12,46.763
9,13,47.851
9,14,48.584
9,15,49.055
9,16,49.33
9,17,49.455
9,18,49.463
